date,sku,units_sold
2024-01-01,SKU0001,1
2024-01-02,SKU0001,0
2024-01-03,SKU0001,2
2024-01-04,SKU0001,1
2024-01-05,SKU0001,0
2024-01-06,SKU0001,3
2024-01-07,SKU0001,1
2024-01-08,SKU0001,1
2024-01-09,SKU0001,0
2024-01-10,SKU0001,0
2024-01-11,SKU0001,0
2024-01-12,SKU0001,2
2024-01-13,SKU0001,1
2024-01-14,SKU0001,1
2024-01-15,SKU0001,0
2024-01-16,SKU0001,0
2024-01-17,SKU0001,1
2024-01-18,SKU0001,0
2024-01-19,SKU0001,2
2024-01-20,SKU0001,1
2024-01-21,SKU0001,1
2024-01-22,SKU0001,0
2024-01-23,SKU0001,3
2024-01-24,SKU0001,2
2024-01-25,SKU0001,1
2024-01-26,SKU0001,0
2024-01-27,SKU0001,0
2024-01-28,SKU0001,0
2024-01-29,SKU0001,0
2024-01-30,SKU0001,1
2024-01-31,SKU0001,1
2024-02-01,SKU0001,3
2024-02-02,SKU0001,0
2024-02-03,SKU0001,0
2024-02-04,SKU0001,0
2024-02-05,SKU0001,0
2024-02-06,SKU0001,0
2024-02-07,SKU0001,1
2024-02-08,SKU0001,0
2024-02-09,SKU0001,1
2024-02-10,SKU0001,0
2024-02-11,SKU0001,2
2024-02-12,SKU0001,1
2024-02-13,SKU0001,0
2024-02-14,SKU0001,2
2024-02-15,SKU0001,1
2024-02-16,SKU0001,0
2024-02-17,SKU0001,0
2024-02-18,SKU0001,1
2024-02-19,SKU0001,0
2024-02-20,SKU0001,0
2024-02-21,SKU0001,0
2024-02-22,SKU0001,1
2024-02-23,SKU0001,1
2024-02-24,SKU0001,1
2024-02-25,SKU0001,1
2024-02-26,SKU0001,0
2024-02-27,SKU0001,1
2024-02-28,SKU0001,0
2024-02-29,SKU0001,0
2024-03-01,SKU0001,1
2024-03-02,SKU0001,1
2024-03-03,SKU0001,1
2024-03-04,SKU0001,1
2024-03-05,SKU0001,1
2024-03-06,SKU0001,1
2024-03-07,SKU0001,1
2024-03-08,SKU0001,0
2024-03-09,SKU0001,0
2024-03-10,SKU0001,0
2024-03-11,SKU0001,0
2024-03-12,SKU0001,0
2024-03-13,SKU0001,2
2024-03-14,SKU0001,0
2024-03-15,SKU0001,0
2024-03-16,SKU0001,0
2024-03-17,SKU0001,0
2024-03-18,SKU0001,1
2024-03-19,SKU0001,1
2024-03-20,SKU0001,1
2024-03-21,SKU0001,1
2024-03-22,SKU0001,0
2024-03-23,SKU0001,1
2024-03-24,SKU0001,0
2024-03-25,SKU0001,0
2024-03-26,SKU0001,0
2024-03-27,SKU0001,1
2024-03-28,SKU0001,1
2024-03-29,SKU0001,0
2024-03-30,SKU0001,1
2024-03-31,SKU0001,0
2024-04-01,SKU0001,1
2024-04-02,SKU0001,0
2024-04-03,SKU0001,0
2024-04-04,SKU0001,0
2024-04-05,SKU0001,1
2024-04-06,SKU0001,0
2024-04-07,SKU0001,0
2024-04-08,SKU0001,0
2024-04-09,SKU0001,3
2024-04-10,SKU0001,2
2024-04-11,SKU0001,1
2024-04-12,SKU0001,0
2024-04-13,SKU0001,3
2024-04-14,SKU0001,1
2024-04-15,SKU0001,1
2024-04-16,SKU0001,0
2024-04-17,SKU0001,0
2024-04-18,SKU0001,0
2024-04-19,SKU0001,2
2024-04-20,SKU0001,0
2024-04-21,SKU0001,0
2024-04-22,SKU0001,0
2024-04-23,SKU0001,1
2024-04-24,SKU0001,0
2024-04-25,SKU0001,2
2024-04-26,SKU0001,1
2024-04-27,SKU0001,1
2024-04-28,SKU0001,0
2024-04-29,SKU0001,1
2024-04-30,SKU0001,1
2024-05-01,SKU0001,1
2024-05-02,SKU0001,0
2024-05-03,SKU0001,0
2024-05-04,SKU0001,0
2024-05-05,SKU0001,1
2024-05-06,SKU0001,0
2024-05-07,SKU0001,0
2024-05-08,SKU0001,0
2024-05-09,SKU0001,1
2024-05-10,SKU0001,0
2024-05-11,SKU0001,2
2024-05-12,SKU0001,1
2024-05-13,SKU0001,0
2024-05-14,SKU0001,1
