date,sku,units_sold
1/1/2024,SKU0001,1
1/2/2024,SKU0001,0
1/3/2024,SKU0001,2
1/4/2024,SKU0001,1
1/5/2024,SKU0001,0
1/6/2024,SKU0001,3
1/7/2024,SKU0001,1
1/8/2024,SKU0001,1
1/9/2024,SKU0001,0
1/10/2024,SKU0001,0
1/11/2024,SKU0001,0
1/12/2024,SKU0001,2
1/13/2024,SKU0001,1
1/14/2024,SKU0001,1
1/15/2024,SKU0001,0
1/16/2024,SKU0001,0
1/17/2024,SKU0001,1
1/18/2024,SKU0001,0
1/19/2024,SKU0001,2
1/20/2024,SKU0001,1
1/21/2024,SKU0001,1
1/22/2024,SKU0001,0
1/23/2024,SKU0001,3
1/24/2024,SKU0001,2
1/25/2024,SKU0001,1
1/26/2024,SKU0001,0
1/27/2024,SKU0001,0
1/28/2024,SKU0001,0
1/29/2024,SKU0001,0
1/30/2024,SKU0001,1
1/31/2024,SKU0001,1
2/1/2024,SKU0001,3
2/2/2024,SKU0001,0
2/3/2024,SKU0001,0
2/4/2024,SKU0001,0
2/5/2024,SKU0001,0
2/6/2024,SKU0001,0
2/7/2024,SKU0001,1
2/8/2024,SKU0001,0
2/9/2024,SKU0001,1
2/10/2024,SKU0001,0
2/11/2024,SKU0001,2
2/12/2024,SKU0001,1
2/13/2024,SKU0001,0
2/14/2024,SKU0001,2
2/15/2024,SKU0001,1
2/16/2024,SKU0001,0
2/17/2024,SKU0001,0
2/18/2024,SKU0001,1
2/19/2024,SKU0001,0
2/20/2024,SKU0001,0
2/21/2024,SKU0001,0
2/22/2024,SKU0001,1
2/23/2024,SKU0001,1
2/24/2024,SKU0001,1
2/25/2024,SKU0001,1
2/26/2024,SKU0001,0
2/27/2024,SKU0001,1
2/28/2024,SKU0001,0
2/29/2024,SKU0001,0
3/1/2024,SKU0001,1
3/2/2024,SKU0001,1
3/3/2024,SKU0001,1
3/4/2024,SKU0001,1
3/5/2024,SKU0001,1
3/6/2024,SKU0001,1
3/7/2024,SKU0001,1
3/8/2024,SKU0001,0
3/9/2024,SKU0001,0
3/10/2024,SKU0001,0
3/11/2024,SKU0001,0
3/12/2024,SKU0001,0
3/13/2024,SKU0001,2
3/14/2024,SKU0001,0
3/15/2024,SKU0001,0
3/16/2024,SKU0001,0
3/17/2024,SKU0001,0
3/18/2024,SKU0001,1
3/19/2024,SKU0001,1
3/20/2024,SKU0001,1
3/21/2024,SKU0001,1
3/22/2024,SKU0001,0
3/23/2024,SKU0001,1
3/24/2024,SKU0001,0
3/25/2024,SKU0001,0
3/26/2024,SKU0001,0
3/27/2024,SKU0001,1
3/28/2024,SKU0001,1
3/29/2024,SKU0001,0
3/30/2024,SKU0001,1
3/31/2024,SKU0001,0
4/1/2024,SKU0001,1
4/2/2024,SKU0001,0
4/3/2024,SKU0001,0
4/4/2024,SKU0001,0
4/5/2024,SKU0001,1
4/6/2024,SKU0001,0
4/7/2024,SKU0001,0
4/8/2024,SKU0001,0
4/9/2024,SKU0001,3
4/10/2024,SKU0001,2
4/11/2024,SKU0001,1
4/12/2024,SKU0001,0
4/13/2024,SKU0001,3
4/14/2024,SKU0001,1
4/15/2024,SKU0001,1
4/16/2024,SKU0001,0
4/17/2024,SKU0001,0
4/18/2024,SKU0001,0
4/19/2024,SKU0001,2
4/20/2024,SKU0001,0
4/21/2024,SKU0001,0
4/22/2024,SKU0001,0
4/23/2024,SKU0001,1
4/24/2024,SKU0001,0
4/25/2024,SKU0001,2
4/26/2024,SKU0001,1
4/27/2024,SKU0001,1
4/28/2024,SKU0001,0
4/29/2024,SKU0001,1
4/30/2024,SKU0001,1
5/1/2024,SKU0001,1
5/2/2024,SKU0001,0
5/3/2024,SKU0001,0
5/4/2024,SKU0001,0
5/5/2024,SKU0001,1
5/6/2024,SKU0001,0
5/7/2024,SKU0001,0
5/8/2024,SKU0001,0
5/9/2024,SKU0001,1
5/10/2024,SKU0001,0
5/11/2024,SKU0001,2
5/12/2024,SKU0001,1
5/13/2024,SKU0001,0
5/14/2024,SKU0001,1
5/15/2024,SKU0001,0
5/16/2024,SKU0001,3
5/17/2024,SKU0001,1
5/18/2024,SKU0001,1
5/19/2024,SKU0001,0
5/20/2024,SKU0001,1
5/21/2024,SKU0001,1
5/22/2024,SKU0001,2
5/23/2024,SKU0001,1
5/24/2024,SKU0001,1
5/25/2024,SKU0001,0
5/26/2024,SKU0001,0
5/27/2024,SKU0001,1
5/28/2024,SKU0001,0
5/29/2024,SKU0001,0
5/30/2024,SKU0001,2
5/31/2024,SKU0001,2
6/1/2024,SKU0001,0
6/2/2024,SKU0001,1
6/3/2024,SKU0001,0
6/4/2024,SKU0001,1
6/5/2024,SKU0001,0
6/6/2024,SKU0001,1
6/7/2024,SKU0001,1
6/8/2024,SKU0001,1
6/9/2024,SKU0001,0
6/10/2024,SKU0001,2
6/11/2024,SKU0001,0
6/12/2024,SKU0001,0
6/13/2024,SKU0001,1
6/14/2024,SKU0001,0
6/15/2024,SKU0001,2
6/16/2024,SKU0001,2
6/17/2024,SKU0001,0
6/18/2024,SKU0001,3
6/19/2024,SKU0001,0
6/20/2024,SKU0001,1
6/21/2024,SKU0001,0
6/22/2024,SKU0001,2
6/23/2024,SKU0001,0
6/24/2024,SKU0001,0
6/25/2024,SKU0001,0
6/26/2024,SKU0001,4
6/27/2024,SKU0001,2
6/28/2024,SKU0001,1
6/29/2024,SKU0001,2
6/30/2024,SKU0001,2
7/1/2024,SKU0001,1
7/2/2024,SKU0001,0
7/3/2024,SKU0001,1
7/4/2024,SKU0001,1
7/5/2024,SKU0001,0
7/6/2024,SKU0001,0
7/7/2024,SKU0001,1
7/8/2024,SKU0001,0
7/9/2024,SKU0001,2
7/10/2024,SKU0001,0
7/11/2024,SKU0001,0
7/12/2024,SKU0001,2
7/13/2024,SKU0001,0
7/14/2024,SKU0001,0
7/15/2024,SKU0001,1
7/16/2024,SKU0001,2
7/17/2024,SKU0001,0
7/18/2024,SKU0001,0
7/19/2024,SKU0001,1
7/20/2024,SKU0001,3
7/21/2024,SKU0001,1
7/22/2024,SKU0001,0
7/23/2024,SKU0001,0
7/24/2024,SKU0001,0
7/25/2024,SKU0001,0
7/26/2024,SKU0001,1
7/27/2024,SKU0001,0
7/28/2024,SKU0001,1
7/29/2024,SKU0001,1
7/30/2024,SKU0001,1
7/31/2024,SKU0001,0
8/1/2024,SKU0001,1
8/2/2024,SKU0001,1
8/3/2024,SKU0001,1
8/4/2024,SKU0001,0
8/5/2024,SKU0001,0
8/6/2024,SKU0001,2
8/7/2024,SKU0001,0
8/8/2024,SKU0001,0
8/9/2024,SKU0001,1
8/10/2024,SKU0001,1
8/11/2024,SKU0001,3
8/12/2024,SKU0001,0
8/13/2024,SKU0001,2
8/14/2024,SKU0001,0
8/15/2024,SKU0001,1
8/16/2024,SKU0001,1
8/17/2024,SKU0001,0
8/18/2024,SKU0001,0
8/19/2024,SKU0001,0
8/20/2024,SKU0001,3
8/21/2024,SKU0001,1
8/22/2024,SKU0001,2
8/23/2024,SKU0001,1
8/24/2024,SKU0001,1
8/25/2024,SKU0001,1
8/26/2024,SKU0001,0
8/27/2024,SKU0001,0
8/28/2024,SKU0001,2
8/29/2024,SKU0001,1
8/30/2024,SKU0001,0
8/31/2024,SKU0001,1
9/1/2024,SKU0001,1
9/2/2024,SKU0001,2
9/3/2024,SKU0001,1
9/4/2024,SKU0001,0
9/5/2024,SKU0001,0
9/6/2024,SKU0001,0
9/7/2024,SKU0001,1
9/8/2024,SKU0001,2
9/9/2024,SKU0001,0
9/10/2024,SKU0001,0
9/11/2024,SKU0001,0
